model_id,model,file_name,text_length,cer,ground_truth,transcribe_sentence
aws_transcribe,AWS Transcribe,4cceac65ea2c11f2f06f58fea3d70e6f.wav,24,0.4705882352941176,서류 웨이트 및 비엘 웨이트가 동일 한가요?,서류및 가 동일한 가요.
aws_transcribe,AWS Transcribe,629d93de3ec5d156ad8c9b6a00eaa5a4.wav,32,0.3928571428571428,보이그룹 디크런치가 거대한 궁전을 힙합 스웨그로 표현했다.,고위 GROUP 다 크런치가 거대한 궁전을 힙합으로 표현했다.
aws_transcribe,AWS Transcribe,498ce296c3be8b593437771c461c0a56.wav,31,0.391304347826087,자이언트 코즈웨이는 영국의 네 번째 경이로 알려져 있다.,는 영국의 네 번째 경위로 알려져 있다.
aws_transcribe,AWS Transcribe,ee493219e400a353b6d02219970c4fbc.wav,17,0.3636363636363636,그 은행 문은 곧 닫힐 거에요.,은행 문은 곧 다칠 거예요
aws_transcribe,AWS Transcribe,673f9e35a60d2ed4f71b8e7b1c5f405e.wav,15,0.3636363636363636,주걱이 부엌의 어디에 있죠?,거기 부엌에 어디에 있죠?
aws_transcribe,AWS Transcribe,4b31fce909ab53c27ed8b0c3d378d8b0.wav,19,0.3571428571428571,그 사람이 짖으라면 나는 짖어야죠.,그 사람이 지질하면 나는 지저야죠
aws_transcribe,AWS Transcribe,ee004ce3130ac8700f9ddc46bc76ab63.wav,21,0.3571428571428571,당신은 몇 월 몇 일에 방문 하십니까?,장 씨는 몇 월 며칠에 방문하십니까.
aws_transcribe,AWS Transcribe,8a7438889c08046ab8607e6f6f360caa.wav,33,0.3461538461538461,손흥민에 위에 서고 지동원이 섀도우 스트라이커처럼 움직였다.,손흥민의 위에서 고 지동원이 쉐처럼 움직였다.
aws_transcribe,AWS Transcribe,7df881456761d223eb47323e4eb62206.wav,22,0.3333333333333333,밑줄 친 낱말과 모음 배열이 같은 것은?,난 말과 모은 배열이 같은 것은.
aws_transcribe,AWS Transcribe,3761f0c6209a08816de84456b9416b7f.wav,20,0.3333333333333333,그녀가 소파에 한가로이 앉아 있어요.,그녀가 한 가루에 앉아 있어요
