,Unnamed: 0,file_name,ground_truth,word_lenth,transcribe_sentence,cer
0,0,0602d995131245171561d037f0189510.wav,바깥쪽에 그것은 선명하고 깔끔한 가장자리가 가장 깨끗한 면을 만들어 냅니다.,42, 바깥쪽에 그것은 선명하고 깔끔한 가장자리가 가장 깨끗한 면을 만들어냅니다.,0.0
1,1,f182d648b017762baac8de281ab08124.wav,내가 뛸 때보다 혜인이가 뛰는 모습을 볼 때가 더 긴장되어 손에 땀이 나고 입술을 깨물었습니다.,53, 내가 뜰 때보다 혜인이가 뛰는 모습을 볼 때가 더 긴장되어 손에 땀이 나고 입술을 깨물었습니다.,0.02631578947368421
2,2,59f571c70f3eaf2def427ace32091e1d.wav,곧 빼빼로데이인 만큼 정성을 담은 편지와 함께 만든 빼빼로를 선물해 보는 건 어떨까요?,48, 곧 빼빼로 데인 만큼 정성을 담은 편지와 함께 만든 빼빼로를 선물해보는 건 어떨까요?,0.02857142857142857
3,3,5bd4b42a7ff1421d3026dc4ac0edb33b.wav,쓱싹쓱싹 색칠 과정까지 즐길 수 있어요.,22," 숙사, 숙사, 색칠 과정까지 즐길 수 있어요",0.25
4,4,3deadb6602581f80145443a6e7a59172.wav,터널은 인터넷에서 멀티캐스트 트래픽이 비 멀티캐스트 가능 부분을 통과하는 것을 허용합니다.,50, 터널은 인터넷에서 멀티케스트 트래프기 비 멀티케스트 가는 부분을 통과하는 것을 허용합니다.,0.1282051282051282
5,5,654f0e245af05108f5a64a4eec7dceab.wav,제 예약이 중복 예약이 되어 중복으로 예약된 두 번째 예약의 환불을 요청하고자 이렇게 메일로 직접 문의드립니다.,62, 제 예약이 중복 예약이 되요. 중복으로 예약된 두 번째 예약의 환불을 요청하고자 이렇게 메일로 직접 문의드립니다.,0.021739130434782608
6,6,a7c75edd59bd44c7dcb453c400768a56.wav,그래서 걔가 누구한테 얘기했는데?,18, 그래서 걔가 누구한테 얘기했는데?,0.0
7,7,64a11502f76fd652f2044478eba6cf86.wav,그래서 첫째 돼지는 둘째 돼지집으로 가고 둘째 돼지와 첫째 돼지는 셋째 돼지 집으로 갔다.,50, 그래서 첫째 돼지는 둘째 돼지 집으로 가고 둘째 돼지와 첫째 돼지는 셋째 돼지 집으로 갔다.,0.0
8,8,6af872b9b75606fd7d422b28471aae29.wav,사실 이런 강아지들이 훨씬훨씬 훨씬 더 많습니다.,27, 사실 이런 강아지들이 훨씬 훨씬 훨씬 더 많습니다.,0.0
9,9,e2d5b4a53131e5ed6fd72f17e93c015a.wav,참고로 이번 주에 보낼 카메라 샘플의 펌웨어는 귀사 전용 펌웨어가 아니고 우리 회사 공용 펌웨어입니다.,57, 참고로 이번 주에 보낼 카메라 샘플의 포멧은 기사전용 포멧어가 아니고 우리 회사 공용 포멧어입니다.,0.21428571428571427
10,10,b8dcb7b4fcb6b2634dc9a6b9f7c89b3f.wav,유체 면적과 평균 속도를 곱하여 유체 유동률을 계산합니다.,32, 유체면적과 평균 속도를 고파요. 유체 유동률을 계산합니다.,0.125
11,11,27b461a783b9d170b123c3dac57eae69.wav,소방서에서 왼쪽으로 꺾어 그리고 쭉 갔다가 다시 오른쪽으로 꺾어서 그리고 쭉 가서 은행에서 왼쪽으로 꺾어.,59," 소방서에서 왼쪽으로 꺾어, 그리고 쭉 갔다가 다시 오른쪽으로 꺾어서 그리고 쭉 가서 운행해서 왼쪽으로 꺾어,",0.045454545454545456
12,12,82337394be01498d6667b29ad9550f05.wav,그건 니몫이 아니라 내 몫이기 때문에 니가 날 도와주지 않는다고 내가 실망할 일은 없을 거야.,52, 그건 리목시 아니라 내목시기 때문에 니가 날 도와주지 않는다고 내가 실망한 일을 없을거야.,0.1891891891891892
13,13,a426ca7115d85ac2715843718386b460.wav,테이블에 앉으셔도 되고 안쪽으로 들어가 편히 앉으셔도 돼요.,33," 테이블에 앉으셔도 되고, 안쪽으로 들어가 편히 앉으셔도 돼요.",0.0
14,14,a9d149b34bba9e14b83121814aeff3ba.wav,닭장 저쪽 구석에서 닭들의 천적인 수리부엉이 한 마리가 닭 한 마리를 낚아채 여유롭게 먹고 있다.,54, 닭장 저쪽 구석에서 닭들의 천적인 수리부엉이 한 마리가 닭 한 마리를 낚아채 여유롭게 먹고 있다.,0.0
15,15,29d2bb695c7feba019504d6073ce74cb.wav,당신이 유럽에서 아시아로 삶의 터전을 옮기기에는 위험 부담이 있어요.,38, 당신이 유럽에서 아시아로 삶의 터전을 옮기기에는 위원부담이 있어요.,0.034482758620689655
16,16,5c586407017d7a1a830dfcb2c98cfc2b.wav,라마준은 얇은 밀가루 반죽 위에 고기를 얇게 펴서 구워낸 음식입니다.,38, 라마주는 얇은 밀가루 반죽 위에 고기를 얇게 펴서 구원해 음식입니다.,0.14285714285714285
17,17,6444373849f6649691506ecc58a53ba3.wav,나의 인생은 외곬길이었다.,14, 나의 인생은 외골길이었다.,0.09090909090909091
18,18,728f94ea579f4f7184521688a9b899a6.wav,부디 계약 내용을 찬찬히 훑어보시고 서명 후 저희에게 사본을 보내주십시오.,41, 부디 계약 내용을 찬찬히 홀터보시고 저명후 저희에게 사본을 보내주십시오.,0.0967741935483871
19,19,6a2eb8d688ba9a028a22ff7616b7db77.wav,시인은 당신께서 하신 일들을 기억하며 읊조리고 되뇝니다.,31, 시이는 당신께서 하신 일들을 기억하며 읃절이고 되냅니다.,0.25
20,20,562b7af3060178a925eca30e531622cf.wav,끓는 육수에 원하는 재료와 소스를 넣고 끓이기만 하면 됩니다.,34, 끓는 육수에 원하는 재료와 소스를 넣고 끓이기만 하면 됩니다.,0.0
21,21,e45333716205c2a453b97b81319f6575.wav,빅스비는 전반적인 인지도가 낮은 데다 오류가 잦고 시리 역시 응답률과 정확도가 낮다는 점이 지적을 받는다.,59, 빅스비는 전반적인 인지도가 낮은 데다 오류가 잡고 시리어 혹시 응답률과 정확도가 낮다는 점이 지적을 받는다,0.06666666666666667
22,22,a4f04b5f0c925e5bfffdc313f28044e6.wav,바퀴벌레가 없는 부엌이야말로 최고의 부엌입니다.,26, 바퀴벌레가 없는 부억이야 말로 최고의 부억입니다.,0.09523809523809523
23,23,8f25c317b558d2871f10531426d25396.wav,너희가 가고 싶고 먹고 싶고 하고 싶고 보고 싶은 것이 있다면 나에게 말해줘.,43, 너희가 가고 싶고 먹고 싶고 하고 싶고 보고 싶은 것이 있다면 나에게 말해줘,0.0
24,24,0796adfc25cbf46391e2ab044b104771.wav,꺅! 오빠! 안녕하세요. 저 완전 팬이에요!,24, 깍! 오빠 안녕하세요! 저 완전 팬이에요,0.06666666666666667
25,25,a9406c7b3fdefb56cc1b82a3841002f2.wav,너무 외곬으로 고지식한 사람이라 세상 살기 힘들어요.,29, 너무 외골수록 고지식한 사람이라 세상살기 힘들어요,0.13636363636363635
26,26,3bc79701a6a87b8bd9a2786426191ad3.wav,당신이 훑어보고 중요한 부분은 다시 설명해 주세요.,28, 당신이 홀터보고 중요한 부분은 다시 설명해 주세요.,0.09523809523809523
27,27,56e85214d4463339174931b6c1edfd1a.wav,스님이 고인의 옆에서 고인이 부처님의 곁으로 갈 수 있게 경을 읊습니다.,40, 스님이 고인의 옆에서 고인이 부처님의 겨트로 갈 수 있게 경우를 뵙습니다.,0.16666666666666666
28,28,23a1e6a41dbdc955b9117a2d7f16da49.wav,몇몇 무슬림 사원이 방화 피해를 입었고 몇몇 무슬림들은 어디를 가든 감시당한다고 주장해요.,50, 면면 무슬림 사원이 방화 피해를 입었고 면면 무슬림들은 어디를 가든 감시 당황을다고 주장해요.,0.15384615384615385
