file_name,ground_truth,text_length,aws_transcribe,whisper_base,whisper_large,whisper_medium,best_cer,worst_cer,cer_spread,best_models,worst_models,transcript_aws_transcribe,transcript_whisper_base,transcript_whisper_large,transcript_whisper_medium
f36b986b12055500f555156b9b01f99b.wav,정말? 한번 가봐야겠다. 알려 줘서 고마워!,24,0.0,0.7567567567567568,0.0,0.0,0.0,0.7567567567567568,0.7567567567567568,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,정말 한번 가봐야겠다. 알려줘서 고마워, 정말 한 번 가봐야겠다 이제 I will just go for I'm out of power, 정말 한번 가봐야겠다. 알려줘서 고마워., 정말? 한번 가봐야겠다. 알려줘서 고마워.
2d424a7848edb3fa7f46502457e4df5a.wav,배드민턴은 왜 이름이 배드민턴이 됐을까요?,23,0.0,0.7407407407407407,0.0,0.0,0.0,0.7407407407407407,0.7407407407407407,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,배드민턴은 왜 이름이 배드민턴이 됐을까요?, BAD MINTER은 왜 이름이 BAD MINTER이 될까요?, 배드민턴은 왜 이름이 배드민턴이 됐을까요?, 배드민턴은 왜 이름이 배드민턴이 됐을까요?
52be6d352d89a498cb163f9d909a2985.wav,미디엄 웰던으로 부탁할게요.,15,0.0,0.2307692307692307,0.6666666666666666,0.0833333333333333,0.0,0.6666666666666666,0.6666666666666666,AWS Transcribe,Whisper large,미디엄 웰던으로 부탁할게요., 이디엄웨일던으로 부탁할게요, Medium Well Done으로 부탁할게요., 이디엄웰던으로 부탁할게요.
7d3ce5f0cfb8662b9d6b1719a362390b.wav,그 뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다.,32,0.0434782608695652,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,"Whisper medium, Whisper large",Whisper base,뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다., 그 뉴스 보드에는 이 정도로 넓은 자리를 후inctions 영상 inclusiveINAUDIBLE, 그 뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다., 그 뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다.
6a866c01a75c5b29b9d4d27c103ff3ea.wav,부엌에서의 식기세척기의 도래는 집안에서의 청결을 개선시키는데 기여했어요.,40,0.0,0.6515151515151515,0.0,0.0,0.0,0.6515151515151515,0.6515151515151515,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,부엌에서의 식기세척기의 도래는 집안에서의 청결을 개선시키는데 기여했어요., 부어 캐소의 시키세척기의 도래는 집안에서의 청결을 개선시키는데 연구aires 보은 방introdu Fine에서의 연구고가 에 messaging, 부엌에서의 식기세척기의 도래는 집 안에서의 청결을 개선시키는데 기여했어요., 부엌에서의 식기세척기의 도래는 집안에서의 청결을 개선시키는데 기여했어요.
cd391a7f50b012226d9abf8c3ce765e9.wav,씁쓸한 도식은 씁쓸한 일상을 낳아.,19,0.2142857142857142,0.6428571428571429,0.0,0.1428571428571428,0.0,0.6428571428571429,0.6428571428571429,Whisper large,Whisper base,씁쓸한 도시 근씁쓸한 일상을 나아, 습스란 도시근 습스란 일상을 아, 씁쓸한 도식은 씁쓸한 일상을 낳아., 씁쓸한 도식은 씁쓸한 일상을 나
855e1d730c5e238a183bbfb528ac9309.wav,실제 몇몇 입주한 잘나가던 벤처기업이 보따리를 쌌다.,29,0.0454545454545454,0.625,0.0,0.0,0.0,0.625,0.625,"Whisper medium, Whisper large",Whisper base,실제 몇몇 입주한 잘 나가던 벤처기업보따리를 쌌다., 실제 몇 년 입주한 잘나가던 벤척이어기 Councillor 고건 이�YN, 실제 몇몇 입주한 잘나가던 벤처기업이 보따리를 쌌다., 실제 몇몇 입주한 잘 나가던 벤처기업이 보따리를 쌌다.
21b38f0e12eb7f7f887f4fdf381859db.wav,그것은 카운터 웨이트일 때만 가능하니 벌크로 카운터 웨이트를 세팅해.,38,0.1724137931034483,0.6046511627906976,0.0,0.0,0.0,0.6046511627906976,0.6046511627906976,"Whisper medium, Whisper large",Whisper base,그것은 카운터트일 때만 가능하니 벌 크로카운터를 세팅해., 그것은 Counterweight일 때만 가능하니 벌크로 Counterweight를 세팅해, 그것은 카운터 웨이트일 때만 가능하니 벌크로 카운터 웨이트를 세팅해," 그것은 카운터 웨이트일 때만 가능하니, 벌크로 카운터 웨이트를 세팅해."
f7c0870a38033d6d2f1f360545c4e682.wav,저는 그 차량의 뒷좌석에 앉았어요.,19,0.0,0.5714285714285714,0.2142857142857142,0.0714285714285714,0.0,0.5714285714285714,0.5714285714285714,AWS Transcribe,Whisper base,저는 그 차량의 뒷좌석에 앉았어요., 그 차량에 빛자석이 안 갔어요, 저는 그 차량에 빗자석에 앉았어요., 저는 그 차량에 뒷좌석에 앉았어요.
11850f8cb87ba26572b6dfe22d4d41f4.wav,나 어제 잠을 늦게 자서 낮잠을 자야겠어.,23,0.0625,0.55,0.0625,0.0,0.0,0.55,0.55,Whisper medium,Whisper base,어제 잠을 늦게 자서 낮잠을 자야겠어, 아 어제 잠을 늦게 자서 여자가 자 ngày cel, 아 어제 잠을 늦게 자서 낮잠을 자야겠어, 나 어제 잠을 늦게 자서 낮잠을 자야겠어
